Vertices, Avg.Time Taken DP, Avg.Time Taken Greedy
3,0.02,0
4,0,0
5,0,0
6,0.1,0.06
7,0,0
8,0.26,0.12
9,0.1,0.02
10,0.22,0.12
11,0.3,0
12,0.26,0
13,0.42,0
14,0.38,0
15,0.5,0
16,1.02,0
17,0.76,0
18,0.68,0.12
19,1.28,0
20,1.2,0
21,0.88,0
22,1.1,0
23,1.2,0
24,1.42,0.02
25,1.24,0.02
26,1.8,0.02
27,3.28,0.04
28,3.72,0
29,3.56,0.02
30,3.22,0.02
31,2.9,0
32,3.68,0.04
33,4.8,0.04
34,5.86,0.1
35,5.34,0.18
36,7.46,0.08
37,5.62,0
38,8.58,0.14
39,8.6,0.14
40,9.76,0.12
41,9.62,0.02
42,10.76,0.08
43,11.16,0.18
44,11.8,0
45,12.84,0.3
46,14.62,0.22
47,14.62,0.2
48,16.18,0.04
49,17.4,0.06
50,15.28,0.42
