Vertices,Avg.Time Taken
3,0.0200
4,0.0000
5,0.0000
6,0.1000
7,0.0000
8,0.2600
9,0.1000
10,0.2200
11,0.3000
12,0.2600
13,0.4200
14,0.3800
15,0.5000
16,1.0200
17,0.7600
18,0.6800
19,1.2800
20,1.2000
21,0.8800
22,1.1000
23,1.2000
24,1.4200
25,1.2400
26,1.8000
27,3.2800
28,3.7200
29,3.5600
30,3.2200
31,2.9000
32,3.6800
33,4.8000
34,5.8600
35,5.3400
36,7.4600
37,5.6200
38,8.5800
39,8.6000
40,9.7600
41,9.6200
42,10.7600
43,11.1600
44,11.8000
45,12.8400
46,14.6200
47,14.6200
48,16.1800
49,17.4000
50,15.2800
